depth,expected_energy,model_version,parameter_index,restart,round,seed,stage,step,value
3,-0.24156445159929255,base,1,,0,19,coordinate_descent,0.6,-0.18205551353609228
3,-0.24156445159929255,base,1,,0,19,coordinate_descent,0.6,-0.23182197127428017
3,-0.24156445159929255,base,2,,0,19,coordinate_descent,0.6,-0.22795718765462308
3,-0.24156445159929255,base,2,,0,19,coordinate_descent,0.6,-0.23344792152269314
3,-0.24156445159929255,base,3,,0,19,coordinate_descent,0.6,-0.22914044524433275
3,-0.24156445159929255,base,3,,0,19,coordinate_descent,0.6,-0.2317574089340628
3,-0.24156445159929255,base,4,,0,19,coordinate_descent,0.6,0.356044155895914
3,-0.24156445159929255,base,4,,0,19,coordinate_descent,0.6,0.14663628570080717
3,-0.24156445159929255,base,5,,0,19,coordinate_descent,0.6,0.7967664806568653
3,-0.24156445159929255,base,5,,0,19,coordinate_descent,0.6,0.7942732827528691
3,-0.24156445159929255,base,0,,1,19,coordinate_descent,0.3,-0.21688377613536497
3,-0.24156445159929255,base,0,,1,19,coordinate_descent,0.3,-0.2340037315129882
3,-0.24156445159929255,base,1,,1,19,coordinate_descent,0.3,-0.2263773585022586
3,-0.24156445159929255,base,1,,1,19,coordinate_descent,0.3,-0.23704307646527067
3,-0.24156445159929255,base,2,,1,19,coordinate_descent,0.3,-0.2384280539239833
3,-0.24156445159929255,base,2,,1,19,coordinate_descent,0.3,-0.23704307646527067
3,-0.24156445159929255,base,3,,1,19,coordinate_descent,0.3,-0.2146070014209105
3,-0.24156445159929255,base,3,,1,19,coordinate_descent,0.3,-0.23513763929064618
3,-0.24156445159929255,base,4,,1,19,coordinate_descent,0.3,0.007850575044752409
3,-0.24156445159929255,base,4,,1,19,coordinate_descent,0.3,-0.12219112527848044
3,-0.24156445159929255,base,5,,1,19,coordinate_descent,0.3,0.1259910729198852
3,-0.24156445159929255,base,5,,1,19,coordinate_descent,0.3,0.14246343211651796
3,-0.24156445159929255,base,0,,2,19,coordinate_descent,0.15,-0.2369291147329426
3,-0.24156445159929255,base,0,,2,19,coordinate_descent,0.15,-0.23723618500174104
3,-0.24156445159929255,base,1,,2,19,coordinate_descent,0.15,-0.2373264669980608
3,-0.24156445159929255,base,1,,2,19,coordinate_descent,0.15,-0.23829324623961234
3,-0.24156445159929255,base,2,,2,19,coordinate_descent,0.15,-0.2388614148850945
3,-0.24156445159929255,base,2,,2,19,coordinate_descent,0.15,-0.2384280539239833
3,-0.24156445159929255,base,3,,2,19,coordinate_descent,0.15,-0.22934151841481437
3,-0.24156445159929255,base,3,,2,19,coordinate_descent,0.15,-0.24028789790939492
3,-0.24156445159929255,base,4,,2,19,coordinate_descent,0.15,-0.19437172463273994
3,-0.24156445159929255,base,4,,2,19,coordinate_descent,0.15,-0.20694309464033225
3,-0.24156445159929255,base,5,,2,19,coordinate_descent,0.15,-0.13408559730704708
3,-0.24156445159929255,base,5,,2,19,coordinate_descent,0.15,-0.14683682688889627
3,-0.24156445159929255,base,0,,3,19,coordinate_descent,0.075,-0.23963447059486392
3,-0.24156445159929255,base,0,,3,19,coordinate_descent,0.075,-0.24014162859249336
3,-0.24156445159929255,base,1,,3,19,coordinate_descent,0.075,-0.24069131771508956
