B,bitstring,capital_avg,cvar95,eta,exp_return,feasible,gamma,lambda,liquidity_avg,model_version,objective_scaled,objective_unscaled,q,selected_count,source,var95,variance,volatility,worst_scenario_return
4,01001100,0.1775,0.007367923569208239,0.25,0.0002089050125872836,False,0.25,8.0,3.125,liquidity,-2.1425345991528397,-119.98197295050451,0.5,3,exact_enumeration,0.0059160890614922594,1.3575682799555197e-05,0.0036845193444403567,-0.010674677801085273
4,01001101,0.2275,0.00870229358107344,0.25,0.00024935158788214014,True,0.25,8.0,3.625,liquidity,-2.2842763029787214,-127.9195107065434,0.5,4,exact_enumeration,0.006887849669542642,1.895675560153034e-05,0.004353935645083691,-0.014962190793988472
4,01001110,0.24,0.009029615484351834,0.25,0.00028125789290859356,True,0.25,8.0,3.75,liquidity,-2.2845093737900597,-127.93256267582903,0.5,4,exact_enumeration,0.007286606519972387,2.049746107676925e-05,0.0045274121832200405,-0.013876741978798788
4,01001111,0.29000000000000004,0.010634862463613627,0.25,0.0003217044682034501,False,0.25,8.0,4.25,liquidity,-2.1405368625813397,-119.87009966949478,0.5,5,exact_enumeration,0.008467167169886906,2.740328011704935e-05,0.005234814239020268,-0.017688732914834263
4,01010000,0.020000000000000004,0.003167816943917576,0.25,0.00015339718323827058,False,0.25,8.0,1.75,liquidity,-1.7134508702476419,-95.95327704269457,0.5,2,exact_enumeration,0.0025527622919679174,2.7089773431918186e-06,0.0016458971241216198,-0.0050157780797556615
4,01010001,0.07,0.0052071651450780925,0.25,0.00019384375853312712,False,0.25,8.0,2.25,liquidity,-2.1409067865106772,-119.89081541564944,0.5,3,exact_enumeration,0.0039735353304941,6.856218167259139e-06,0.002618438115988067,-0.011115435744719146
4,01010010,0.0825,0.005283332902693983,0.25,0.0002257500635595805,False,0.25,8.0,2.375,liquidity,-2.1411398669405797,-119.90386792357482,0.5,3,exact_enumeration,0.004281692898650509,7.319644124284563e-06,0.0027054840831696944,-0.010121580135800484
4,01010011,0.1325,0.007329723132539464,0.25,0.00026619663885443703,True,0.25,8.0,2.875,liquidity,-2.282881568169013,-127.84140553415658,0.5,4,exact_enumeration,0.0056128822390411025,1.299163118665684e-05,0.003604390543026219,-0.01622123780076397
4,01010100,0.10750000000000001,0.006419137241206984,0.25,0.000266203210140699,False,0.25,8.0,2.75,liquidity,-2.141838108568364,-119.94296946626677,0.5,3,exact_enumeration,0.004944475574517265,1.0140553424608025e-05,0.0031844235623748334,-0.009938087109769088
4,01010101,0.15750000000000003,0.00773696968569164,0.25,0.00030664978543555555,True,0.25,8.0,3.25,liquidity,-2.283579815572641,-127.88050740029585,0.5,4,exact_enumeration,0.0062552947171178345,1.5165645832733658e-05,0.0038943094166660227,-0.011977009919700474
4,01010110,0.17,0.008221421321280103,0.25,0.0003385560904620089,True,0.25,8.0,3.375,liquidity,-2.283812885488129,-127.89355931941387,0.5,4,exact_enumeration,0.006553957952946256,1.680668652765073e-05,0.004099595898091753,-0.015690386039555707
4,01010111,0.22000000000000003,0.009715387444012326,0.25,0.00037900266575686546,False,0.25,8.0,3.875,liquidity,-2.139840377457804,-119.83109649106984,0.5,5,exact_enumeration,0.007945167941192462,2.335652517408131e-05,0.0048328589027698,-0.017082811975745297
4,01011000,0.1075,0.00618772739193302,0.25,0.00023285286354695608,False,0.25,8.0,2.775,liquidity,-2.1418840258771628,-119.94554083631816,0.5,3,exact_enumeration,0.005002989307783232,9.033090766348484e-06,0.003005510067583951,-0.010438120914756684
4,01011001,0.1575,0.007786090273292645,0.25,0.0002732994388418126,True,0.25,8.0,3.275,liquidity,-2.283625731909342,-127.88307871590975,0.5,4,exact_enumeration,0.006133163875632009,1.4167058173300146e-05,0.003763915271801445,-0.015988821155121298
4,01011010,0.16999999999999998,0.007703074883692748,0.25,0.000305205743868266,True,0.25,8.0,3.4,liquidity,-2.283858811765999,-127.89613119173335,0.5,4,exact_enumeration,0.00619549598834743,1.4694687674510331e-05,0.0038333650588628174,-0.014994965546202636
4,01011011,0.22,0.009439498915991763,0.25,0.00034565231916312253,False,0.25,8.0,3.9,liquidity,-2.139886302763576,-119.83366830895187,0.5,5,exact_enumeration,0.007337863708006323,2.135340131976695e-05,0.004620974066121444,-0.02109462321116612
4,01011100,0.195,0.00840421293221678,0.25,0.0003456588904493845,True,0.25,8.0,3.775,liquidity,-2.2845570485346753,-127.93523246231517,0.5,4,exact_enumeration,0.006624616195358138,1.8059817178014117e-05,0.0042496843621631615,-0.011720950849555026
4,01011101,0.24500000000000002,0.009769475957739854,0.25,0.00038610546574424106,False,0.25,8.0,4.275,liquidity,-2.1405845453080965,-119.87276990298105,0.5,5,exact_enumeration,0.007766882849579522,2.407163616902409e-05,0.004906285373785762,-0.016850395330102623
4,01011110,0.2575,0.010040149088256596,0.25,0.00041801177077069443,False,0.25,8.0,4.4,liquidity,-2.1408176146503384,-119.88582178999724,0.5,5,exact_enumeration,0.008031324540983093,2.5776880408125925e-05,0.005077093697000866,-0.017484721998418756
4,01011111,0.3075,0.011601757875764722,0.25,0.00045845834606555097,False,0.25,8.0,4.9,liquidity,-1.7111308963891565,-95.82335846829,0.5,6,exact_enumeration,0.009257388496460918,3.331344563744085e-05,0.005771780109934963,-0.021956197386147448
4,01100000,0.0075,0.0019788951280675657,0.25,-6.342546396275506e-06,False,0.25,8.0,1.9958333333333336,liquidity,-1.7139053130902198,-95.97872584938702,0.5,2,exact_enumeration,0.001593220361476143,8.939109191866369e-07,0.0009454686241153838,-0.0038532297084864038
4,01100001,0.0575,0.004384003392693422,0.25,3.410402889858102e-05,False,0.25,8.0,2.4958333333333336,liquidity,-2.141361232527924,-119.91626440012342,0.5,3,exact_enumeration,0.003484963215712876,4.68558870700485e-06,0.0021646220702480263,-0.006964062978979845
4,01100010,0.07,0.004668178370620876,0.25,6.60103339250344e-05,False,0.25,8.0,2.6208333333333336,liquidity,-2.14159431318747,-119.92931692090886,0.5,3,exact_enumeration,0.003648242994693232,5.123294568619049e-06,0.002263469586413533,-0.006820585176065698
4,01100011,0.12000000000000001,0.0067633704480880895,0.25,0.00010645690921989094,True,0.25,8.0,3.1208333333333336,liquidity,-2.283336017590573,-127.86685470927215,0.5,4,exact_enumeration,0.005115154305878264,1.043971859474222e-05,0.003231055337616832,-0.01206986503502467
4,01100100,0.09500000000000001,0.005759308129278016,0.25,0.00010646348050615293,False,0.25,8.0,2.9958333333333336,liquidity,-2.1422925539007327,-119.96841841238756,0.5,3,exact_enumeration,0.004505845356424461,8.046630305442314e-06,0.002836658299027628,-0.009695526979344837
4,01100101,0.14500000000000002,0.007052955972334374,0.25,0.00014691005580100947,True,0.25,8.0,3.4958333333333336,liquidity,-2.284034264079679,-127.90595652419817,0.5,4,exact_enumeration,0.00575485858429953,1.2716159677318836e-05,0.0035659724728773264,-0.010395051482320459
4,01100110,0.15750000000000003,0.0078082508179283675,0.25,0.00017881636082746284,True,0.25,8.0,3.6208333333333336,liquidity,-2.2842673342248103,-127.91900845617624,0.5,4,exact_enumeration,0.006023297495422451,1.4331480276824684e-05,0.003785694160497475,-0.012653189282972946
4,01100111,0.20750000000000002,0.009328188334607669,0.25,0.00021926293612231938,False,0.25,8.0,4.120833333333334,liquidity,-2.1402948293691546,-119.85654580561373,0.5,5,exact_enumeration,0.00717427062663775,2.0525755887006163e-05,0.004530535938165171,-0.013693539216540178
